id,pdt_url,pdt_name,pdt_categ,pdt_img,brand,Features,price,sub_categ
0,https://www.flipkart.com/blue-martin-men-checkered-casual-white-black-dark-shirt/p/itm13dc9c6053f20?pid=SHTGM92WXNH2Q9GR&lid=LSTSHTGM92WXNH2Q9GRNIVA05&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_1&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_jPYThFGGKXBtNZLI4mY6q1NOiEgIpbfh_iFwMKeUFkJgjC47cwTIzI1TFjjLGktdBA7rKQ1Ppclchh0d4521EQ%3D%3D&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/k/l/x/xl-whitecheck-blackcheck-youth-first-original-imaghy7hxgn55fqc.jpeg?q=70,BLUE MARTIN,"{'Color': 'White, Black, Dark Blue', 'Fabric': 'Cotton Blend', 'Pattern': 'Checkered', 'Net Quantity': '2'}",₹499,shirt
1,https://www.flipkart.com/blue-martin-men-checkered-casual-multicolor-shirt/p/itme5df459eab0c0?pid=SHTGM92WRHUPGYYE&lid=LSTSHTGM92WRHUPGYYEYULBON&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_2&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_jPYThFGGKXBtNZLI4mY6q1NOiEgIpbfh_iFwMKeUFkKF_xVkUdsBA5-pv5WYC-UnM9L7wGntx6WgIoRksok2lw%3D%3D&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/u/b/d/m-blackcheck-bigbluecheck-youth-first-original-imaghy7knhhqjyqn.jpeg?q=70,BLUE MARTIN,"{'Color': 'Multicolor', 'Fabric': 'Cotton Blend', 'Pattern': 'Checkered', 'Net Quantity': '2'}",₹459,shirt
4,https://www.flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm0f168b89ba37a?pid=SHTFT97HQAMTKYJE&lid=LSTSHTFT97HQAMTKYJE32E0KC&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=BestsellerId_clo%2Fash&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=c804e7eb-59aa-4216-bb8f-45d950c63007.SHTFT97HQAMTKYJE.SEARCH&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Slim Fit Checkered Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/o/p/0/5xl-pk19sh09g-surhi-original-imaft8vgvhmhbhsy.jpeg?q=70,Surhi,"{'Color': 'Grey', 'Fabric': 'Pure Cotton', 'Pattern': 'Checkered', 'Net Quantity': '1'}",₹499,shirt
6,https://www.flipkart.com/pptoss-men-printed-casual-black-shirt/p/itm96e43e4886200?pid=SHTGRPUFWXBPAGHK&lid=LSTSHTGRPUFWXBPAGHKAWIRCS&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_7&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=c804e7eb-59aa-4216-bb8f-45d950c63007.SHTGRPUFWXBPAGHK.SEARCH&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Printed Curved Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/x/4/d/xl-ms-boho-pptoss-original-imagrpu66nszt67r.jpeg?q=70,PPTOSS,"{'Color': 'Black', 'Fabric': 'Polycotton', 'Pattern': 'Printed', 'Net Quantity': '1'}",₹399,shirt
9,https://www.flipkart.com/vtexx-men-solid-formal-maroon-shirt/p/itmd1e2b3ebb2f1c?pid=SHTGMG75D4ZTYMHR&lid=LSTSHTGMG75D4ZTYMHRNFIXEC&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=c804e7eb-59aa-4216-bb8f-45d950c63007.SHTGMG75D4ZTYMHR.SEARCH&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Solid Spread Collar Formal Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/b/d/f/3xl-13-lstr-wine-vtexx-original-imagnzbummhkgr7p.jpeg?q=70,VTEXX,"{'Color': 'Maroon', 'Fabric': 'Cotton Blend', 'Pattern': 'Solid', 'Net Quantity': '1'}",₹299,shirt
10,https://www.flipkart.com/blue-martin-men-checkered-casual-multicolor-shirt/p/itm65bafc35da6cf?pid=SHTGM92WYPYVZD3V&lid=LSTSHTGM92WYPYVZD3VYMLJT7&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_11&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_jPYThFGGKXBtNZLI4mY6q1NOiEgIpbfh_iFwMKeUFkLOoZUE4DIzpnFBHByzBmlfa4jRLLwpCq_-DeFzr-EHdg%3D%3D&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/9/o/h/xl-whitecheck-sbcheck-youth-first-original-imaghy7k8yhyphhn.jpeg?q=70,BLUE MARTIN,"{'Color': 'Multicolor', 'Fabric': 'Cotton Blend', 'Pattern': 'Checkered', 'Net Quantity': '2'}",₹498,shirt
11,https://www.flipkart.com/fibermill-men-solid-formal-pink-shirt/p/itm2bc3ae083f73f?pid=SHTGBXYVUV9PSE8A&lid=LSTSHTGBXYVUV9PSE8AAKQ7F8&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_12&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_jPYThFGGKXBtNZLI4mY6q1NOiEgIpbfh_iFwMKeUFkLC3STy3RoPac1IllIdgmbfVlD8uip01b1aTliFjmSbyQ%3D%3D&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Solid Spread Collar Formal Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/l02r1jk0/shirt/l/6/m/m-fbrml-r-fibermill-original-imagbxyuxtyj64gz.jpeg?q=70,FIBERMILL,"{'Color': 'Pink', 'Fabric': 'Cotton Blend', 'Pattern': 'Solid', 'Net Quantity': '1'}",₹389,shirt
14,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itmf139c9efcaa77?pid=SHTGR4JXP5QWDGGF&lid=LSTSHTGR4JXP5QWDGGFKC6NVS&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_15&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=c804e7eb-59aa-4216-bb8f-45d950c63007.SHTGR4JXP5QWDGGF.SEARCH&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Printed Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/i/g/p/s-st10-vebnor-original-imagr4jxvwxz5hca.jpeg?q=70,VeBNoR,"{'Color': 'Grey', 'Fabric': 'Lycra Blend', 'Pattern': 'Printed', 'Net Quantity': '1'}",₹289,shirt
15,https://www.flipkart.com/vebnor-men-printed-casual-dark-green-shirt/p/itm6c37d97847ef5?pid=SHTGPPDKDHM3GAZG&lid=LSTSHTGPPDKDHM3GAZGK9FOGZ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=c804e7eb-59aa-4216-bb8f-45d950c63007.SHTGPPDKDHM3GAZG.SEARCH&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Regular Fit Printed Spread Collar Casual Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/0/j/i/s-st10-vebnor-original-imagr4jtjdrvzsze.jpeg?q=70,VeBNoR,"{'Color': 'Dark Green', 'Fabric': 'Lycra Blend', 'Pattern': 'Printed', 'Net Quantity': '1'}",₹289,shirt
16,https://www.flipkart.com/stoneberg-men-solid-formal-grey-shirt/p/itmb114af1143ed6?pid=SHTGHGHQMKU6WAQH&lid=LSTSHTGHGHQMKU6WAQHW5FPRL&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_jPYThFGGKXBtNZLI4mY6q1NOiEgIpbfh_iFwMKeUFkLDaH-1V0-7cYNwcecQlY0iuvxvy_m_TSOZyQ33LNj_4g%3D%3D&ppt=None&ppn=None&ssid=yb3vlq6yv40000001692553141122,Men Slim Fit Solid Spread Collar Formal Shirt,Men Top,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/z/3/7/xl-r-dark-grey-stoneberg-original-imaghghn2vcf5euv.jpeg?q=70,STONEBERG,"{'Color': 'Grey', 'Fabric': 'Cotton Blend', 'Pattern': 'Solid', 'Net Quantity': '1'}",₹419,shirt
